Step,Time,E_kin,E_pot,E_tot
 94,     0.47000000,  2855.93163192,-51426.85524004,-48570.92360812
 95,     0.47500000,  2862.47629974,-51319.08926631,-48456.61296657
 96,     0.48000000,  2869.38875028,-51210.23849933,-48340.84974904
 97,     0.48500000,  2876.66951744,-51100.44249073,-48223.77297329
 98,     0.49000000,  2884.30465383,-50989.75575270,-48105.45109887
 99,     0.49500000,  2892.26806962,-50878.32696605,-47986.05889643
100,     0.50000000,  2900.55352968,-50766.29712099,-47865.74359131
101,     0.50500000,  2909.14974256,-50653.67501635,-47744.52527379
102,     0.51000000,  2918.02849929,-50540.56448783,-47622.53598854
103,     0.51500000,  2927.16413078,-50427.09682969,-47499.93269891
104,     0.52000000,  2936.54126226,-50313.41822429,-47376.87696203
105,     0.52500000,  2946.13526233,-50199.63779798,-47253.50253564
106,     0.53000000,  2955.90663758,-50085.78486293,-47129.87822535
107,     0.53500000,  2965.84944622,-49972.02825467,-47006.17880846
108,     0.54000000,  2975.94381292,-49858.40007532,-46882.45626240
109,     0.54500000,  2986.14903899,-49744.99358548,-46758.84454649
110,     0.55000000,  2996.44982718,-49631.98100543,-46635.53117825
111,     0.55500000,  3006.82755251,-49519.38518005,-46512.55762754
112,     0.56000000,  3017.26204667,-49407.32458737,-46390.06254071
113,     0.56500000,  3027.73434469,-49295.81377868,-46268.07943399
114,     0.57000000,  3038.23491194,-49184.89282495,-46146.65791302
115,     0.57500000,  3048.75750271,-49074.57513820,-46025.81763549
116,     0.58000000,  3059.28389125,-48964.87044884,-45905.58655759
117,     0.58500000,  3069.81580946,-48855.89941921,-45786.08360975
118,     0.59000000,  3080.34528379,-48747.59438463,-45667.24910085
119,     0.59500000,  3090.86696409,-48640.02512987,-45549.15816577
120,     0.60000000,  3101.40448311,-48533.14389902,-45431.73941592
121,     0.60500000,  3111.95072722,-48426.99007503,-45315.03934781
122,     0.61000000,  3122.51431625,-48321.49329392,-45198.97897767
123,     0.61500000,  3133.11856012,-48216.63479096,-45083.51623083
124,     0.62000000,  3143.76191184,-48112.44738716,-44968.68547532
125,     0.62500000,  3154.46445414,-48008.82648859,-44854.36203445
126,     0.63000000,  3165.24438050,-47905.72329818,-44740.47891767
127,     0.63500000,  3176.10705599,-47803.04244832,-44626.93539233
128,     0.64000000,  3187.07192189,-47700.79546359,-44513.72354170
129,     0.64500000,  3198.16146531,-47598.94806575,-44400.78660044
130,     0.65000000,  3209.39597318,-47497.35809210,-44287.96211893
131,     0.65500000,  3220.79566061,-47395.90997739,-44175.11431678
132,     0.66000000,  3232.37967999,-47294.57688501,-44062.19720503
133,     0.66500000,  3244.14485053,-47193.26367525,-43949.11882473
134,     0.67000000,  3256.11025340,-47091.88599454,-43835.77574114
135,     0.67500000,  3268.29678563,-46990.45670988,-43722.15992424
136,     0.68000000,  3280.71070921,-46888.71733024,-43608.00662103
137,     0.68500000,  3293.35272883,-46786.71362149,-43493.36089266
138,     0.69000000,  3306.21083802,-46684.25884260,-43378.04800458
139,     0.69500000,  3319.28919842,-46581.33508324,-43262.04588482
140,     0.70000000,  3332.56668331,-46477.95168053,-43145.38499722
141,     0.70500000,  3346.04492966,-46373.91753883,-43027.87260917
142,     0.71000000,  3359.71600907,-46269.25123632,-42909.53522725
143,     0.71500000,  3373.55701611,-46163.79066592,-42790.23364981
144,     0.72000000,  3387.54429372,-46057.51565556,-42669.97136184
145,     0.72500000,  3401.64382706,-45950.43868305,-42548.79485599
146,     0.73000000,  3415.81808119,-45842.46012147,-42426.64204028
147,     0.73500000,  3430.07131142,-45733.66981658,-42303.59850516
148,     0.74000000,  3444.38211968,-45623.95013055,-42179.56801087
149,     0.74500000,  3458.69963404,-45513.35228588,-42054.65265185
150,     0.75000000,  3473.01282769,-45401.84428334,-41928.83145565
151,     0.75500000,  3487.30354618,-45289.39857901,-41802.09503283
152,     0.76000000,  3501.52690378,-45176.04456638,-41674.51766260
153,     0.76500000,  3515.69615362,-45061.81997332,-41546.12381970
154,     0.77000000,  3529.80734194,-44946.66863601,-41416.86129407
155,     0.77500000,  3543.80997148,-44830.63932253,-41286.82935105
156,     0.78000000,  3557.72069854,-44713.80621635,-41156.08551781
157,     0.78500000,  3571.54780653,-44596.05529443,-41024.50748790
158,     0.79000000,  3585.28196588,-44477.50548846,-40892.22352257
159,     0.79500000,  3598.91506530,-44358.11446353,-40759.19939823
160,     0.80000000,  3612.46606371,-44237.84333812,-40625.37727441
161,     0.80500000,  3625.94202033,-44116.73915828,-40490.79713795
162,     0.81000000,  3639.34817458,-43994.73814020,-40355.38996562
163,     0.81500000,  3652.69438091,-43871.88806437,-40219.19368346
164,     0.82000000,  3665.94752714,-43748.09410117,-40082.14657403
165,     0.82500000,  3679.15884598,-43623.40476523,-39944.24591925
166,     0.83000000,  3692.36367534,-43497.78655141,-39805.42287606
167,     0.83500000,  3705.55656372,-43371.16408808,-39665.60752436
168,     0.84000000,  3718.73360255,-43243.52363335,-39524.79003080
169,     0.84500000,  3731.93575801,-43114.80388886,-39382.86813084
170,     0.85000000,  3745.19446612,-42984.88752706,-39239.69306093
171,     0.85500000,  3758.48939709,-42853.81028245,-39095.32088536
172,     0.86000000,  3771.83475362,-42721.40516248,-38949.57040886
173,     0.86500000,  3785.27334728,-42587.61225224,-38802.33890496
174,     0.87000000,  3798.83852758,-42452.31063224,-38653.47210467
175,     0.87500000,  3812.53494612,-42315.47911008,-38502.94416396
176,     0.88000000,  3826.38089748,-42176.96036700,-38350.57946952
177,     0.88500000,  3840.41974727,-42036.55832608,-38196.13857881
178,     0.89000000,  3854.68427373,-41894.11103451,-38039.42676079
179,     0.89500000,  3869.20715302,-41749.48517936,-37880.27802634
180,     0.90000000,  3884.02616423,-41602.41568410,-37718.38951987
181,     0.90500000,  3899.18039403,-41452.73004145,-37553.54964741
182,     0.91000000,  3914.76968799,-41300.12334013,-37385.35365214
183,     0.91500000,  3930.88054582,-41144.25040101,-37213.36985519
184,     0.92000000,  3947.57748994,-40984.73544705,-37037.15795711
185,     0.92500000,  3964.98603991,-40821.07679832,-36856.09075841
186,     0.93000000,  3983.23773589,-40652.77411467,-36669.53637879
187,     0.93500000,  4002.51242851,-40479.26190895,-36476.74948044
188,     0.94000000,  4023.03869491,-40299.69223822,-36276.65354331
189,     0.94500000,  4045.09276267,-40113.24500826,-36068.15224560
190,     0.95000000,  4069.01846785,-39918.88413324,-35849.86566539
191,     0.95500000,  4095.22660677,-39715.36262314,-35620.13601637
192,     0.96000000,  4124.22039371,-39501.34626861,-35377.12587490
193,     0.96500000,  4156.68544043,-39275.03264494,-35118.34720451
194,     0.97000000,  4193.51220467,-39034.38047009,-34840.86826541
195,     0.97500000,  4235.79466779,-38776.87083380,-34541.07616600
196,     0.98000000,  4284.92720882,-38499.50429227,-34214.57708345
197,     0.98500000,  4342.71701789,-38198.80900399,-33856.09198609
198,     0.99000000,  4411.47435271,-37870.52072997,-33459.04637726
199,     0.99500000,  4494.11892094,-37509.63694561,-33015.51802466
200,     1.00000000,  4594.36347454,-37110.14040892,-32515.77693438
